category,question,answer
Basic,Who are you?,I am a college helpdesk chatbot for Veeranari Chakali Ilamma Women's University Hyderabad.
Basic,What is your purpose?,My purpose is to help students with college related queries.
Basic,How can you help me?,I provide information about admissions courses exams facilities and campus life.
Basic,What college is this?,This is Veeranari Chakali Ilamma Women's University Hyderabad.
Basic,Where is this university located?,It is located in Koti Hyderabad Telangana.
Basic,Is this a women's college?,Yes it is a women's university.
Basic,When was the college established?,The institution was established in 1924.
Basic,Is this a government university?,Yes it is a state university.
Basic,What was the previous name of the college?,It was previously Osmania University College for Women. 
Basic,Is it affiliated to Osmania University?,It is historically associated and follows Osmania University academic system.
Basic,Is it NAAC accredited?,Yes the university has NAAC accreditation. 
Basic,Is it a good college?,Yes it is one of the oldest women's institutions with good academic reputation.
Basic,How many students study here?,Thousands of students study here from across Telangana.
Basic,Is the campus large?,Yes the campus is spread across a large area in Koti. 
Basic,Is the campus safe?,Yes the campus provides a safe environment for women students.
Basic,Is this autonomous?,The college had autonomous status earlier under Osmania University.
Basic,Is it a university now?,Yes it was upgraded to a university in recent years. 
Basic,What type of institution is this?,It is a public women's university.
Basic,Does it have history?,Yes it is a heritage campus with historical importance. 
Basic,Is it popular in Hyderabad?,Yes it is a well known women's institution in Hyderabad.
Admissions,What is the admission process?,Admissions are conducted based on merit and university guidelines. Students need to apply through the official admission process and complete document verification at the college.
Admissions,How can I apply for admission?,Students can apply for admission through the official process as per university guidelines. After applying they must submit required documents for verification.
Admissions,What documents are required?,Students must submit marksheets transfer certificate identity proof and other required documents during admission.
Admissions,What is the procedure for admission?,Admissions are based on merit and university guidelines.
Admissions,What is the admission process?,Admissions are based on merit and university guidelines Students must apply and complete document verification.
Admissions,How can I get admission?,You can apply through DOST for UG courses.
Admissions,Is admission online?,Yes admission process is online.
Admissions,Which exams are required?,DOST for UG TS ICET and TS CPGET for PG. 
Admissions,What is DOST?,DOST is the Telangana degree admission portal.
Admissions,What is TS CPGET?,It is entrance exam for postgraduate courses.
Admissions,What is TS ICET?,It is entrance exam for MBA and MCA.
Admissions,What documents are needed?,Marksheets certificates and ID proof are required.
Admissions,Is merit required?,Yes admissions are merit based.
Admissions,Is reservation available?,Yes as per government rules.
Admissions,When do admissions start?,After Intermediate results.
Admissions,Is there offline admission?,Mostly online but office support is available.
Admissions,Can I change course later?,Depends on university rules.
Admissions,Is there entrance test for UG?,No UG admission is based on DOST.
Admissions,What is cut off?,Cut off varies based on course demand.
Admissions,Can I apply for multiple colleges?,Yes through DOST options.
Admissions,Is there management quota?,Depends on university policy.
Admissions,Can I cancel admission?,Yes as per guidelines.
Admissions,How to confirm seat?,By paying fees online.
Admissions,What if I miss admission date?,You may apply in next phase.
Admissions,Is help available for admission?,Yes college provides guidance support.
Academics,How many courses are offered?,The university offers many UG and PG programs.
Academics,What streams are available?,Arts Science and Commerce streams are available.
Academics,Is MSc available?,Yes multiple MSc courses are available. 
Academics,Is MCA available?,Yes MCA course is available.
Academics,Is Data Science available?,Yes MSc Data Science is available. 
Academics,How many departments are there?,Many departments across streams exist. 
Academics,Is syllabus updated?,Yes syllabus is updated regularly.
Academics,Who prepares syllabus?,Osmania University academic system.
Academics,Are there practical labs?,Yes labs are available.
Academics,Is attendance important?,Yes minimum attendance required.
Academics,Are internal exams conducted?,Yes internal assessments are conducted.
Academics,How many semesters?,Usually six semesters for UG.
Academics,Are assignments given?,Yes assignments are part of evaluation.
Academics,Is project work included?,Yes some courses include projects.
Academics,Is English compulsory?,Yes basic English is part of curriculum.
Academics,Are there elective subjects?,Yes electives are available.
Academics,Are faculty qualified?,Yes faculty are experienced and qualified.
Academics,Is academic support provided?,Yes mentoring and guidance is available. 
Academics,Is research available?,Yes research and publications exist.
Facilities,Is hostel available?,Yes hostel facilities are available. 
Facilities,Is library available?,Yes central library is available.
Facilities,Is WiFi available?,Yes campus has internet facilities. 
Facilities,Are labs available?,Yes well equipped labs are available.
Facilities,Is there cafeteria?,Yes food facilities are available. 
Facilities,Is health centre available?,Yes medical facilities are available.
Facilities,Is gym available?,Yes gym facilities are available. 
Facilities,Is there auditorium?,Yes seminar halls and auditorium are available. 
Facilities,Is cyber centre available?,Yes cyber facilities are available.
Facilities,Are classrooms good?,Yes classrooms are well maintained.
Facilities,Is campus clean?,Yes campus is clean and green.
Facilities,Is there security?,Yes security is available.
Facilities,Is parking available?,Yes parking facilities exist.
Facilities,Are there gardens?,Yes horticulture and gardens are present. 
Facilities,Is campus big?,Yes it is a large campus.
Facilities,Are smart classrooms available?,Yes modern teaching methods are used.
Facilities,Is drinking water available?,Yes clean water facilities are available.
Facilities,Is there digital library?,Yes digital resources are available. 
Facilities,Is infrastructure good?,Yes infrastructure is good. 
Facilities,Are seminar halls available?,Yes seminar halls are available. 
Sports,Are sports available?,Yes sports activities are encouraged. 
Sports,What sports are available?,Students can participate in indoor and outdoor sports.
Sports,Is there sports ground?,Yes sports facilities are available.
Sports,Is physical education available?,Yes physical education support exists. 
Sports,Are competitions conducted?,Yes sports competitions are held.
Sports,Can students join sports?,Yes all students can participate.
Sports,Are coaches available?,Yes physical trainers guide students.
Sports,Is sports compulsory?,It is optional but encouraged.
Sports,Are inter college matches held?,Yes students participate in competitions.
Sports,Are indoor games available?,Yes indoor games are available.

NCC,Is NCC available?,Yes NCC is available in the university. 
NCC,What is NCC?,NCC is National Cadet Corps for discipline and training.
NCC,How to join NCC?,Students can enroll through college selection.
NCC,What are NCC benefits?,It improves leadership discipline and career opportunities.
NCC,Does NCC help in jobs?,Yes it helps in defense and government jobs.
NCC,Is training given in NCC?,Yes regular training is provided.
NCC,Are camps conducted?,Yes NCC camps are organized.
NCC,Is certificate provided?,Yes NCC certificates are awarded.
NCC,Is attendance needed for NCC?,Yes participation is required.
NCC,Can all students join NCC?,Selection is based on criteria.

NSS,Is NSS available?,Yes NSS unit is active. 
NSS,What is NSS?,NSS is National Service Scheme for social service.
NSS,What activities NSS does?,It conducts social service and awareness programs.
NSS,How to join NSS?,Students can register through college.
NSS,What is NSS motto?,The motto is Not Me But You. 
NSS,Does NSS help society?,Yes it promotes social responsibility.
NSS,Are camps conducted?,Yes NSS camps are organized.
NSS,Is certificate given?,Yes participation certificates are provided.
NSS,Is NSS useful?,Yes it develops leadership and social skills.
NSS,Can students participate in NSS?,Yes students are encouraged.
Fees,What is fee structure?,The fee structure varies depending on the course and category. Students should contact the college office or check official notices for accurate details.
Fees,How can I pay fees?,Fees can be paid through the official payment methods provided by the college either online or at the accounts office.
Fees,Are scholarships available?,Yes eligible students can apply for government scholarships and fee reimbursement schemes.
Fees,What is the fee structure?,Fee structure varies depending on course and category.
Fees,How much is BA fee?,BA fees range around 14000 to 98000 for full course. 
Fees,How much is BSc fee?,BSc fees range around 20000 to 160000 depending on specialization.
Fees,How much is MSc fee?,MSc fees range from 42000 to 200000 for full course.
Fees,Is fee affordable?,Yes fees follow government norms and are affordable.
Fees,Is fee same for all courses?,No fees differ based on course and specialization.
Fees,Is there semester fee?,Yes semester exam fees are charged separately.
Fees,Can I pay fees online?,Yes fees can be paid online or through college office.
Fees,Is fee refundable?,Refund depends on university rules.
Fees,Are scholarships available?,Yes government scholarships are available.
Fees,Is fee reimbursement available?,Yes eligible students get fee reimbursement.
Fees,Do SC ST students get benefits?,Yes as per Telangana government rules.
Fees,Do minority students get scholarship?,Yes eligible students can apply.
Fees,Is hostel fee included?,No hostel fee is separate.
Fees,What is hostel fee?,Hostel fee is around 5000 to 7200 per year plus mess charges.
Fees,Is exam fee included?,No exam fee is separate.
Fees,Is there fine for late payment?,Yes late fee may be applied.
Fees,Can I pay fees in installments?,Depends on college policy.
Fees,Is there any extra charges?,Yes lab and exam fees may apply.
Fees,Where to check fee details?,You can check at college office or official website.
Exams,When are exams conducted?,Exams are conducted at the end of each semester according to the academic schedule provided by the university.
Exams,What are passing marks?,Students must secure minimum passing marks as prescribed by the university in each subject.
